,Name,StandDev,LastClosingVal
224,HIG,7.971150731472638,55.86
225,HII,53.18138764579128,234.82
226,HLT,8.449493480308822,82.02
227,HOG,7.69621246811709,48.48
228,HOLX,8.129931130989625,40.45
229,HON,20.26568436979473,151.19
230,HPE,3.5193115148404996,15.56
231,HPQ,3.6054708757140577,21.21
232,HP,16.929191217665814,67.47
233,HRB,4.203776070445909,25.74
234,HRL,6.615671323103823,32.74
235,HRS,24.496960309749987,152.79
236,HSIC,13.30327831411912,72.97
237,HST,2.298427871537923,19.45
238,HSY,8.121108860051523,99.04
239,HUM,53.45244590740933,264.9
240,IBM,20.207108408916554,153.85
241,ICE,10.651576192693204,70.72
242,IDXX,39.98128662306546,176.83
243,IFF,21.596154599520474,142.7
244,ILMN,45.769332498090336,221.2
245,INCY,33.66723254639912,86.34
246,INFO,7.68774833764088,45.17
247,INTC,5.886670567501335,45.2
248,INTU,26.273125777460287,161.29
249,IPG,3.131848624587501,21.3
250,IP,5.757045822011388,59.25
251,IQV,16.684567554042264,98.21
252,IRM,4.370780783391443,33.18
253,IR,11.670997766668563,91.19
254,ISRG,72.97599882123075,399.53
255,ITW,27.306933765210008,163.44
256,IT,21.042883942325123,119.45
257,IVZ,3.8596428076986324,33.46
258,JBHT,11.350377650317716,117.95
259,JCI,4.0878033899272745,37.6
260,JEC,7.87014623755206,66.01
261,JNJ,16.18819095529168,131.42
262,JNPR,3.341634786314717,25.39
263,JPM,15.76415370658717,112.87
264,JWN,11.844342251936627,49.3
265,KEY,2.818599295653725,21.13
266,KHC,6.488279215002806,73.55
267,KIM,3.3856359140041574,14.52
268,KLAC,16.024066277190236,102.66
269,KMB,11.149583419117407,112.36
270,KMI,9.235825673260555,17.29
271,KMX,9.309623575313166,65.4
272,KORS,17.356886111071987,66.11
273,KO,2.3875416436169075,44.56
274,KR,7.45078878843345,28.9
275,KSS,9.27618153015184,62.92
276,KSU,12.457778820984254,107.1
277,K,5.791233527106072,64.21
278,LB,16.56760060063779,49.11
279,LEG,7.808498742821507,45.78
280,LEN,7.164922272045901,60.91
281,LH,20.81406640042744,169.66
282,LKQ,4.211986891667316,40.35
283,LLL,31.506324650757993,207.69
284,LLY,11.977593675126453,76.72
285,LMT,62.41202936228177,345.43
286,LNC,12.208747668413574,78.51
287,LNT,5.9502782287893945,37.5
288,LOW,15.215052629190591,99.92
289,LRCX,42.4853106802695,171.63
290,LUK,3.8678431287925705,25.01
